"model","sn","code1","code2","vmid","","","","","",""
"2Core","00401034E4AB","CYEJ","GSZ7","25.0","Lydia","","","","",""
"3Core","00401034DFDD","42TP","6SD8","23.0","Lydia","","","","",""
"4Core","00401034DFC4","YGRL","QKWL","Judy's","","00401034E078","VPPT","K4CA","24.0","NO"
"8Core","004010350892","GJMH","CA9T","","","","","","",""
"16Core","00401034F159","BRHK","XM9S","","","","","","",""
"NSv10","004010350181","4RFC","XLBC","","","","","","",""
"NSv25","00401034EFC6","RXGP","FCFC","","","","","","",""
"NSv50","00401034DED4","BNUS","UKR7","","","","","","",""
"NSv100","00401034FF7F","NTFJ","5CUY","","","","","","",""
